model_name,base_parameters,result_type,result_parameter,mean_value,std_value,cv_value,dynamic_option
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 6}",pp,512,49.7,0.01,0.02012072434607646,6
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 7}",pp,512,49.63,0.06,0.12089462018940156,7
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 8}",pp,512,49.6,0.04,0.08064516129032258,8
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 0}",tg,128,22.05,0.01,0.045351473922902494,0
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 1}",tg,128,21.92,0.02,0.09124087591240876,1
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 2}",tg,128,21.01,0.11,0.5235602094240838,2
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 3}",tg,128,22.24,0.01,0.04496402877697842,3
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 4}",tg,128,22.18,0.01,0.04508566275924256,4
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 5}",tg,128,22.25,0.01,0.0449438202247191,5
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 6}",tg,128,22.12,0.01,0.045207956600361664,6
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 7}",tg,128,22.26,0.01,0.044923629829290206,7
qwen3_06b,"{""threads"": 1, ""precision"": 0, ""kv_cache"": ""false"", ""mmap"": ""0"", ""n_prompt"": 512, ""n_gen"": 128, ""dynamicOption"": 8}",tg,128,22.24,0.0,0.0,8
