metric,parameter_name,parameter_value,vp0_n,vp1_n,pf_n,vp0_mean,vp1_mean,pf_mean,vp0_std,vp1_std,pf_std,vp0_median,vp1_median,pf_median,levene_stat,levene_p,bartlett_stat,bartlett_p,anova_f_stat,anova_p_value,tukey_results,model,result_type
hunyuan_05b_pp,n_prompt,96,5,5,5,73.09200000000001,73.074,73.07000000000001,0.031144823004792786,0.025099800796022653,0.019999999999997797,73.1,73.06,73.08,0.10769230769236389,0.8987617921859044,0.6926042686714325,0.7072987555806409,1.0300000000001193,0.3865231873667626,[],hunyuan_05b,pp
hunyuan_05b_pp,n_prompt,104,5,5,5,72.874,72.868,72.83,0.008944271909997378,0.019235384061675277,0.010000000000005116,72.87,72.86,72.83,0.6486486486491967,0.5401410745585217,2.639585312550555,0.26719069653702476,15.52727272726965,0.0004687846957120881,[],hunyuan_05b,pp
hunyuan_05b_pp,n_prompt,112,5,5,5,72.47,72.45599999999999,72.404,0.014142135623733162,0.016733200530677755,0.011401754250990359,72.46,72.46,72.4,0.1538461538461259,0.859068301025414,0.5180349071691467,0.7718095520828537,29.737704918032502,2.2394818691137476e-05,[],hunyuan_05b,pp
hunyuan_05b_pp,n_prompt,120,5,5,5,72.496,72.494,72.454,0.03209361307176379,0.005477225575054464,0.03646916505762089,72.51,72.49,72.47,1.3885350318467182,0.28678569279760346,9.035508184811073,0.010913506892746196,3.5230125523010525,0.0625549039589422,[],hunyuan_05b,pp
hunyuan_05b_pp,n_prompt,128,5,5,5,72.224,72.196,72.168,0.013416407865001366,0.011401754250987866,0.025884358211089083,72.23,72.2,72.16,1.476190476189566,0.26719317230944134,2.8765866069319785,0.2373324677262,11.999999999999305,0.0013717421124831719,[],hunyuan_05b,pp
hunyuan_05b_pp,n_prompt,136,5,5,5,71.572,71.596,71.558,0.03962322551231719,0.015165750888104302,0.023874672772625467,71.58,71.59,71.56,0.592000000000146,0.5685966677240122,3.1447881658401697,0.207547700683138,2.337552742616077,0.13889158590871578,[],hunyuan_05b,pp
hunyuan_05b_pp,n_prompt,144,5,5,5,71.62,71.586,71.566,0.029154759474229235,0.04219004621945766,0.049799598391956724,71.63,71.57,71.57,0.3768115942027353,0.6938825851013339,0.9914700659736126,0.6091230171988125,2.1878669275929354,0.1548398878021571,[],hunyuan_05b,pp
hunyuan_05b_pp,n_prompt,152,5,5,5,71.394,71.38399999999999,71.35,0.02966479394838633,0.013416407864998188,0.02738612787526453,71.4,71.39,71.37,0.5299145299146947,0.6018143253826653,2.2120471507779,0.3308720363810914,4.408839779004375,0.036685425510398856,[],hunyuan_05b,pp
hunyuan_05b_pp,n_prompt,160,5,5,5,71.03800000000001,71.03,71.012,0.029495762407507814,0.012247448713916354,0.013038404810404884,71.05,71.03,71.01,0.9253731343285956,0.4229104681140864,3.7237030182628073,0.15538466773634574,2.2352941176467924,0.14956597846988431,[],hunyuan_05b,pp
hunyuan_05b_pp,n_prompt,168,5,5,5,71.02799999999999,71.032,71.002,0.01643167672515474,0.014832396974189333,0.01643167672515474,71.02,71.03,71.01,0.04545454545458364,0.9557267493638413,0.04912909015580453,0.9757347080131349,5.236842105263797,0.023176178754156212,[],hunyuan_05b,pp
hunyuan_05b_tg,n_gen,32,10,10,10,31.372999999999998,31.369999999999997,31.348000000000003,0.07118832613411967,0.06218252702059185,0.11820885471627474,31.384999999999998,31.375,31.41,0.8551151787792018,0.43643108462216845,4.169422371177761,0.1243430270384495,0.24402192365524544,0.7851796674231732,[],hunyuan_05b,tg
hunyuan_05b_tg,n_gen,40,10,10,10,31.274999999999995,31.24,31.244,0.09571369343574186,0.07615773105863928,0.11992590304943329,31.310000000000002,31.225,31.235,0.9402985074626211,0.4029281096451146,1.7370869226711503,0.4195622129973595,0.3752129955696855,0.6906698267427804,[],hunyuan_05b,tg
hunyuan_05b_tg,n_gen,48,10,10,10,31.211000000000002,31.236,31.220999999999997,0.0884998430632626,0.09593979593705866,0.101920448280891,31.175,31.275,31.235,0.16137931034482758,0.8517839509132688,0.17071242621944055,0.9181851565513879,0.1732031439915842,0.8418937413697033,[],hunyuan_05b,tg
hunyuan_05b_tg,n_gen,56,10,10,10,31.169999999999998,31.217000000000006,31.162999999999993,0.11025223605694064,0.0678314905564602,0.07930952023559376,31.235,31.245,31.145,0.26558686487682626,0.7687356151982407,2.1756907904618257,0.33694168834087934,1.1225050621927,0.34018239898534786,[],hunyuan_05b,tg
hunyuan_05b_tg,n_gen,64,10,10,10,31.189,31.160000000000004,31.110000000000003,0.08748968193132538,0.06055300708194958,0.10645812948447574,31.2,31.185000000000002,31.08,1.0809656268627028,0.35350129698235827,2.5979298198293868,0.27281403403814575,2.114816812987404,0.14020316278302344,[],hunyuan_05b,tg
qwen3_06b_pp,n_prompt,96,5,5,5,67.998,68.038,68.076,0.06260990336999561,0.08438009243891474,0.005477225575054464,68.02,68.06,68.08,0.9527458492974661,0.4130183767224929,14.739976412099985,0.0006298756077751961,2.0614272809391796,0.16999488651731695,[],qwen3_06b,pp
qwen3_06b_pp,n_prompt,104,5,5,5,67.864,67.87,67.88,0.015165750888101489,0.018708286933867883,0.02121320343560058,67.87,67.87,67.88,0.3111111111114298,0.7383674526480206,0.39904319338518374,0.8191225302844146,0.9514563106795095,0.4134782949212422,[],qwen3_06b,pp
