vp0_mean,vp1_mean,pf_mean,grand_mean,all_std,vp0_n,vp1_n,pf_n,d_vp0_vp1,d_vp0_pf,d_vp1_pf,eta_squared,rel_diff_vp0_vs_vp1,rel_diff_vp0_vs_pf,rel_diff_vp1_vs_pf,max_relative_difference,average_absolute_difference,effect_size_interpretation,practical_impact,model,result_type,param_name,param_value
31.372999999999998,31.369999999999997,31.348000000000003,31.363666666666667,0.08507535537365697,10,10,10,0.03526285593311837,0.29385713277591685,0.25859427684279845,0.01687334633711019,0.009565208149557707,0.07971006791296201,0.0701448597634043,0.07971006791296201,0.01666666666666335,"{'vp0_vs_vp1': '极小效应 (d=0.0353) - 可忽略不计', 'vp0_vs_pf': '小效应 (d=0.2939) - 轻微影响', 'vp1_vs_pf': '小效应 (d=0.2586) - 轻微影响', 'overall_eta_squared': '小效应 (η²=0.0169) - 轻微影响'}",可忽略 - 差异小于0.1%，在噪声范围内,hunyuan_05b,tg,n_gen,32
31.274999999999995,31.24,31.244,31.253,0.09674531085491313,10,10,10,0.3617746399356279,0.32042896680010974,0.041345673135518166,0.025474642641716765,0.11198924903208202,0.09919047771412424,0.012798771317957749,0.11198924903208202,0.02333333333333106,"{'vp0_vs_vp1': '小效应 (d=0.3618) - 轻微影响', 'vp0_vs_pf': '小效应 (d=0.3204) - 轻微影响', 'vp1_vs_pf': '极小效应 (d=0.0413) - 可忽略不计', 'overall_eta_squared': '小效应 (η²=0.0255) - 轻微影响'}",微小 - 差异小于0.5%，实际测试中难以感知,hunyuan_05b,tg,n_gen,40
31.211000000000002,31.236,31.220999999999997,31.222666666666665,0.09284519311767006,10,10,10,0.26926542086367466,0.1077061683454163,0.16155925251825837,0.012096968951844141,0.08007003459025039,0.03202801383608423,0.048042020754166165,0.08007003459025039,0.01666666666666572,"{'vp0_vs_vp1': '小效应 (d=0.2693) - 轻微影响', 'vp0_vs_pf': '极小效应 (d=0.1077) - 可忽略不计', 'vp1_vs_pf': '极小效应 (d=0.1616) - 可忽略不计', 'overall_eta_squared': '小效应 (η²=0.0121) - 轻微影响'}",可忽略 - 差异小于0.1%，在噪声范围内,hunyuan_05b,tg,n_gen,48
31.169999999999998,31.217000000000006,31.162999999999993,31.183333333333334,0.08801776205279023,10,10,10,0.5339831291304431,0.07952940221096086,0.6135125313414039,0.0690804890872747,0.15072153928383014,0.02244788882951898,0.17316942811334912,0.17316942811334912,0.03600000000000847,"{'vp0_vs_vp1': '中等效应 (d=0.5340) - 实际影响', 'vp0_vs_pf': '极小效应 (d=0.0795) - 可忽略不计', 'vp1_vs_pf': '中等效应 (d=0.6135) - 实际影响', 'overall_eta_squared': '中等效应 (η²=0.0691) - 实际影响'}",微小 - 差异小于0.5%，实际测试中难以感知,hunyuan_05b,tg,n_gen,56
31.189,31.160000000000004,31.110000000000003,31.153000000000002,0.09017798492712771,10,10,10,0.32158624994150276,0.8760453015648608,0.5544590516233581,0.1157657139714673,0.09308894809487485,0.2535871344653711,0.1604981863704963,0.2535871344653711,0.05266666666666472,"{'vp0_vs_vp1': '小效应 (d=0.3216) - 轻微影响', 'vp0_vs_pf': '大效应 (d=0.8760) - 重要影响', 'vp1_vs_pf': '中等效应 (d=0.5545) - 实际影响', 'overall_eta_squared': '中等效应 (η²=0.1158) - 实际影响'}",微小 - 差异小于0.5%，实际测试中难以感知,hunyuan_05b,tg,n_gen,64
67.998,68.038,68.076,68.03733333333334,0.06518837173548407,5,5,5,0.6136063677476207,1.1965324171079257,0.582926049360305,0.19268069091957837,0.05879125186171128,0.11464294113034325,0.05585168926863198,0.11464294113034325,0.0519999999999925,"{'vp0_vs_vp1': '中等效应 (d=0.6136) - 实际影响', 'vp0_vs_pf': '大效应 (d=1.1965) - 重要影响', 'vp1_vs_pf': '中等效应 (d=0.5829) - 实际影响', 'overall_eta_squared': '大效应 (η²=0.1927) - 重要影响'}",微小 - 差异小于0.5%，实际测试中难以感知,qwen3_06b,pp,n_prompt,96
67.864,67.87,67.88,67.87133333333334,0.018464895909600886,5,5,5,0.3249409056717458,0.8665090817908092,0.5415681761190634,0.11327608982814658,0.008840256563890833,0.02357401750369493,0.014733760939804098,0.02357401750369493,0.010666666666660754,"{'vp0_vs_vp1': '小效应 (d=0.3249) - 轻微影响', 'vp0_vs_pf': '大效应 (d=0.8665) - 重要影响', 'vp1_vs_pf': '中等效应 (d=0.5416) - 实际影响', 'overall_eta_squared': '中等效应 (η²=0.1133) - 实际影响'}",可忽略 - 差异小于0.1%，在噪声范围内,qwen3_06b,pp,n_prompt,104
67.47200000000001,67.50800000000001,67.524,67.50133333333332,0.027481595573003344,5,5,5,1.3099676073890743,1.8921754328949847,0.5822078255059104,0.38504885488284285,0.053332279856202404,0.07703551534783387,0.023703235491631478,0.07703551534783387,0.03466666666666166,"{'vp0_vs_vp1': '大效应 (d=1.3100) - 重要影响', 'vp0_vs_pf': '大效应 (d=1.8922) - 重要影响', 'vp1_vs_pf': '中等效应 (d=0.5822) - 实际影响', 'overall_eta_squared': '大效应 (η²=0.3850) - 重要影响'}",可忽略 - 差异小于0.1%，在噪声范围内,qwen3_06b,pp,n_prompt,112
67.544,67.53800000000001,67.51199999999999,67.53133333333332,0.03700707783010995,5,5,5,0.16213114765587505,0.8646994541669709,0.7025683065110959,0.12345578673613247,0.008884764603077116,0.04738541121653755,0.03850064661346043,0.04738541121653755,0.02133333333334046,"{'vp0_vs_vp1': '极小效应 (d=0.1621) - 可忽略不计', 'vp0_vs_pf': '大效应 (d=0.8647) - 重要影响', 'vp1_vs_pf': '中等效应 (d=0.7026) - 实际影响', 'overall_eta_squared': '中等效应 (η²=0.1235) - 实际影响'}",可忽略 - 差异小于0.1%，在噪声范围内,qwen3_06b,pp,n_prompt,120
67.29,67.28599999999999,67.25,67.27533333333334,0.02825057942937245,5,5,5,0.14159001623379994,1.41590016233146,1.27431014609766,0.2884637156118795,0.0059457156164504565,0.05945715616422996,0.0535114405477795,0.05945715616422996,0.026666666666670835,"{'vp0_vs_vp1': '极小效应 (d=0.1416) - 可忽略不计', 'vp0_vs_pf': '大效应 (d=1.4159) - 重要影响', 'vp1_vs_pf': '大效应 (d=1.2743) - 重要影响', 'overall_eta_squared': '大效应 (η²=0.2885) - 重要影响'}",可忽略 - 差异小于0.1%，在噪声范围内,qwen3_06b,pp,n_prompt,128
