suite_name,model_name,base_parameters,result_type,result_parameter,mean_value,std_value,cv_value,prompt_mode,n_prompt,n_gen
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 128, ""n_gen"": 32}",pp,128,72.2,0.01,0.013850415512465372,pf_file,128,32
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 128, ""n_gen"": 40}",pp,128,72.14,0.01,0.01386193512614361,pf_file,128,40
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 128, ""n_gen"": 48}",pp,128,72.16,0.01,0.01385809312638581,pf_file,128,48
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 128, ""n_gen"": 56}",pp,128,72.19,0.0,0.0,pf_file,128,56
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 128, ""n_gen"": 64}",pp,128,72.15,0.03,0.041580041580041575,pf_file,128,64
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 136, ""n_gen"": 32}",pp,136,71.53,0.04,0.05592059275828324,pf_file,136,32
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 136, ""n_gen"": 40}",pp,136,71.56,0.01,0.013974287311347122,pf_file,136,40
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 136, ""n_gen"": 48}",pp,136,71.59,0.01,0.013968431345159939,pf_file,136,48
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 136, ""n_gen"": 56}",pp,136,71.54,0.06,0.08386916410399775,pf_file,136,56
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 136, ""n_gen"": 64}",pp,136,71.57,0.01,0.013972334777141262,pf_file,136,64
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 144, ""n_gen"": 32}",pp,144,71.55,0.09,0.12578616352201258,pf_file,144,32
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 144, ""n_gen"": 40}",pp,144,71.49,0.06,0.0839278220730172,pf_file,144,40
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 144, ""n_gen"": 48}",pp,144,71.61,0.01,0.013964530093562352,pf_file,144,48
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 144, ""n_gen"": 56}",pp,144,71.57,0.05,0.06986167388570631,pf_file,144,56
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 144, ""n_gen"": 64}",pp,144,71.61,0.01,0.013964530093562352,pf_file,144,64
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 152, ""n_gen"": 32}",pp,152,71.37,0.03,0.04203446826397646,pf_file,152,32
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 152, ""n_gen"": 40}",pp,152,71.32,0.06,0.08412787436904094,pf_file,152,40
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 152, ""n_gen"": 48}",pp,152,71.32,0.09,0.1261918115535614,pf_file,152,48
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 152, ""n_gen"": 56}",pp,152,71.37,0.04,0.05604595768530195,pf_file,152,56
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 152, ""n_gen"": 64}",pp,152,71.37,0.01,0.014011489421325487,pf_file,152,64
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 160, ""n_gen"": 32}",pp,160,71.0,0.03,0.04225352112676056,pf_file,160,32
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 160, ""n_gen"": 40}",pp,160,71.0,0.01,0.014084507042253521,pf_file,160,40
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 160, ""n_gen"": 48}",pp,160,71.03,0.0,0.0,pf_file,160,48
