result_type,model,performance_diff,performance_diff_pct,cv_diff,data_points_diff
pp,qwen2_5_0_5b,0.007656249999996589,0.009699973869453827,-0.006096718516185151,0
pp,smolvlm2_256m,0.021406249999984084,0.01209677775392842,-0.010067790768744075,0
tg,qwen2_5_0_5b,-0.07453124999999972,-0.26551628165877994,-0.013180935821457379,0
tg,smolvlm2_256m,0.34765625,0.8315301275511158,-0.09437957452173909,0
