result_type,model,dynamicoption_value,data_points,mean_performance,std_performance,min_performance,max_performance,avg_cv,max_cv,min_cv,n_prompt_range,n_gen_range
pp,qwen2_5_0_5b,7,64,78.93062499999999,6.958428912944929,66.7,91.94,0.10605200114181834,0.2173664340464478,0.029150269639994168,64 - 1024,32 - 128
pp,qwen2_5_0_5b,8,64,78.93828124999999,6.948291683318156,66.68,91.96,0.09995528262563319,0.22277552090158564,0.02910360884749709,64 - 1024,32 - 128
pp,smolvlm2_256m,7,64,176.95828125,27.188111579966755,134.71,227.75,0.10032137257846573,0.20336292842616932,0.018611576400521124,64 - 1024,32 - 128
pp,smolvlm2_256m,8,64,176.97968749999998,27.17115276829337,134.95,227.94,0.09025358180972165,0.17873100983020554,0.019528389396084558,64 - 1024,32 - 128
tg,qwen2_5_0_5b,7,64,28.0703125,0.22292406529778008,27.73,28.44,0.15444184576196254,0.9733237202595532,0.035161744022503515,64 - 1024,32 - 128
tg,qwen2_5_0_5b,8,64,27.99578125,0.23423502433876986,27.52,28.41,0.14126090994050516,1.0174418604651163,0.03589375448671931,64 - 1024,32 - 128
tg,smolvlm2_256m,7,64,41.80921875,0.6509926600602964,40.51,42.92,0.31299516412580886,1.3141883669992698,0.04739336492890995,64 - 1024,32 - 128
tg,smolvlm2_256m,8,64,42.156875,0.564623417132696,40.77,43.25,0.21861558960406977,0.8254716981132075,0.04657661853749418,64 - 1024,32 - 128
