model,analysis_type,dependent_variable,covariate,factor,r_squared,adj_r_squared,f_statistic,f_p_value,aic,bic,eta_squared,partial_eta_squared,effect_interpretation,normality_p,normality_passed,homogeneity_p,homogeneity_passed,slopes_homogeneity_p,slopes_homogeneity_passed,adjusted_mean_pffile,adjusted_mean_vp0,adjusted_mean_vp1
hunyuan_05b,pp,mean_value,n_prompt,prompt_mode,0.9677056599961866,0.9670420776673412,1458.3053495107808,1.39808967478429e-108,-185.07902582821447,-173.03648465182945,0.0005659211712473244,0.017222053355949313,极小效应 (η² = 0.000566),,,0.9968441837910668,True,0.8902786209839177,True,71.94139999998582,71.98079999998585,71.97159999998588
hunyuan_05b,tg,mean_value,n_gen,prompt_mode,0.37660393419691607,0.36379442599548284,29.40034295421104,6.2637579041226615e-15,-285.9910908631247,-273.9485496867397,0.012166670417893823,0.019143146261589493,小效应 (η² = 0.012167),,,0.04132488921170421,False,0.5214850394155788,True,31.217199999999902,31.24359999999993,31.244599999999945
qwen3_06b,pp,mean_value,n_prompt,prompt_mode,0.9652581643715874,0.964544291036757,1352.1420639712155,2.890787763950869e-106,-189.40867532674775,-177.36613415036274,0.00014165915915381448,0.004060922221712335,极小效应 (η² = 0.000142),,,0.30936468528191924,True,0.945831282583707,True,67.03599999998686,67.01639999998687,67.02619999998691
qwen3_06b,tg,mean_value,n_gen,prompt_mode,0.2736186642329842,0.2586930203473605,18.33211795281635,3.7802775411186777e-10,-18.37215340376855,-6.329612227383528,0.21824145025903305,0.23103555566043868,大效应 (η² = 0.218241),,,2.9809148486884137e-05,False,0.9651301112059757,True,27.511399999999924,27.42899999999994,27.717799999999965
