result_type,model,mmap_value,data_points,mean_performance,std_performance,min_performance,max_performance,avg_cv,max_cv,min_cv,n_prompt_range,n_gen_range
pp,qwen2_5_0_5b,0,64,78.93078125,6.951256664893778,66.63,91.88,0.10349521648784887,0.196412203744926,0.014564520827264785,64-1024,32-128
pp,qwen2_5_0_5b,1,64,79.01765625,6.948676873524825,66.76,92.1,0.12812267381026535,0.20954598370197902,0.01391207568169171,64-1024,32-128
pp,smolvlm2_256m,0,64,176.99765624999998,27.219873735299995,135.18,227.91,0.09721830768531875,0.20492908375128077,0.021944261575597982,64-1024,32-128
pp,smolvlm2_256m,1,64,177.3365625,27.398272522229952,134.62,228.63,0.17217999762681957,0.2698003477426705,0.07754670426506874,64-1024,32-128
tg,qwen2_5_0_5b,0,64,27.99265625,0.2548590783189552,27.18,28.38,0.13204969446130127,1.0298295454545454,0.035423308537017355,64-1024,32-128
tg,qwen2_5_0_5b,1,64,28.521875,0.28487744510606444,27.79,28.97,0.14630075349580535,0.6300315015750787,0.03460207612456748,64-1024,32-128
tg,smolvlm2_256m,0,64,42.140156250000004,0.657176481304197,40.71,43.28,0.2543262862049512,1.17426021606388,0.023713540431586435,64-1024,32-128
tg,smolvlm2_256m,1,64,42.95125,0.7523265501730201,41.22,44.21,0.31173995489191164,1.2220916568742657,0.046783625730994156,64-1024,32-128
