prompt_length,mean_value,std_value,cv_value,model_name
32,42.29,0.37,0.8749113265547411,smolvlm2_256m
32,42.4,0.07,0.16509433962264153,smolvlm2_256m
32,43.12,0.08,0.1855287569573284,smolvlm2_256m
64,15.31,0.01,0.06531678641410843,llama_3_2_1b
64,15.59,0.02,0.12828736369467608,llama_3_2_1b
64,15.48,0.01,0.06459948320413438,llama_3_2_1b
64,15.59,0.01,0.06414368184733804,llama_3_2_1b
64,15.45,0.04,0.2588996763754045,llama_3_2_1b
64,15.59,0.01,0.06414368184733804,llama_3_2_1b
64,15.43,0.07,0.45366169799092687,llama_3_2_1b
64,15.56,0.01,0.06426735218508997,llama_3_2_1b
64,15.54,0.0,0.0,llama_3_2_1b
64,15.55,0.02,0.12861736334405144,llama_3_2_1b
64,15.58,0.01,0.06418485237483955,llama_3_2_1b
64,15.52,0.02,0.12886597938144329,llama_3_2_1b
64,15.56,0.01,0.06426735218508997,llama_3_2_1b
64,15.58,0.01,0.06418485237483955,llama_3_2_1b
64,15.58,0.01,0.06418485237483955,llama_3_2_1b
64,15.39,0.01,0.0649772579597141,llama_3_2_1b
64,28.17,0.01,0.03549875754348598,qwen2_5_0_5b
64,28.02,0.04,0.14275517487508924,qwen2_5_0_5b
64,28.27,0.04,0.14149274849663954,qwen2_5_0_5b
64,28.04,0.04,0.14265335235378032,qwen2_5_0_5b
64,28.05,0.03,0.10695187165775401,qwen2_5_0_5b
64,28.19,0.02,0.0709471443774388,qwen2_5_0_5b
64,28.14,0.06,0.21321961620469082,qwen2_5_0_5b
64,28.13,0.02,0.07109847138286528,qwen2_5_0_5b
64,28.01,0.03,0.1071046054980364,qwen2_5_0_5b
64,28.1,0.03,0.10676156583629892,qwen2_5_0_5b
64,27.43,0.02,0.07291286912139994,qwen2_5_0_5b
64,28.1,0.04,0.14234875444839856,qwen2_5_0_5b
64,28.2,0.01,0.03546099290780142,qwen2_5_0_5b
64,28.15,0.02,0.07104795737122559,qwen2_5_0_5b
64,28.09,0.03,0.10679957280170879,qwen2_5_0_5b
64,28.19,0.06,0.2128414331323164,qwen2_5_0_5b
64,42.48,0.04,0.09416195856873824,smolvlm2_256m
64,42.46,0.05,0.11775788977861518,smolvlm2_256m
64,43.05,0.12,0.2787456445993031,smolvlm2_256m
64,42.0,0.29,0.6904761904761904,smolvlm2_256m
64,42.47,0.09,0.21191429244172355,smolvlm2_256m
64,41.95,0.16,0.3814064362336114,smolvlm2_256m
64,42.47,0.07,0.1648222274546739,smolvlm2_256m
64,42.52,0.12,0.2822201317027281,smolvlm2_256m
64,42.56,0.02,0.046992481203007516,smolvlm2_256m
64,42.47,0.16,0.37673651989639745,smolvlm2_256m
64,42.87,0.1,0.23326335432703524,smolvlm2_256m
64,42.86,0.09,0.2099860009332711,smolvlm2_256m
64,41.89,0.02,0.047744091668656,smolvlm2_256m
64,42.75,0.03,0.07017543859649122,smolvlm2_256m
64,42.43,0.08,0.18854584020740042,smolvlm2_256m
64,42.33,0.06,0.14174344436569808,smolvlm2_256m
96,15.38,0.01,0.06501950585175553,llama_3_2_1b
96,15.43,0.01,0.06480881399870382,llama_3_2_1b
96,15.48,0.01,0.06459948320413438,llama_3_2_1b
96,15.35,0.0,0.0,llama_3_2_1b
96,15.44,0.0,0.0,llama_3_2_1b
96,15.36,0.01,0.06510416666666667,llama_3_2_1b
96,15.47,0.01,0.06464124111182934,llama_3_2_1b
96,15.24,0.02,0.13123359580052493,llama_3_2_1b
96,15.42,0.01,0.06485084306095978,llama_3_2_1b
96,15.49,0.01,0.06455777921239508,llama_3_2_1b
96,15.43,0.03,0.19442644199611148,llama_3_2_1b
96,15.35,0.0,0.0,llama_3_2_1b
96,15.5,0.01,0.06451612903225806,llama_3_2_1b
96,15.47,0.01,0.06464124111182934,llama_3_2_1b
96,15.4,0.07,0.4545454545454546,llama_3_2_1b
96,15.46,0.0,0.0,llama_3_2_1b
96,27.77,0.05,0.18005041411595246,qwen2_5_0_5b
96,27.8,0.05,0.1798561151079137,qwen2_5_0_5b
96,27.75,0.02,0.07207207207207207,qwen2_5_0_5b
96,27.83,0.02,0.07186489399928135,qwen2_5_0_5b
96,27.84,0.04,0.14367816091954022,qwen2_5_0_5b
96,27.83,0.02,0.07186489399928135,qwen2_5_0_5b
96,27.77,0.03,0.10803024846957147,qwen2_5_0_5b
96,27.73,0.01,0.03606202668589975,qwen2_5_0_5b
96,27.74,0.02,0.07209805335255949,qwen2_5_0_5b
96,27.73,0.04,0.144248106743599,qwen2_5_0_5b
