repeat,data_count,mean_cv,cv_std,min_cv,max_cv,cv_range,mean_performance,performance_range,std_performance,std_performance_range
2,3,0.2409402201186126,0.15415333205765053,0.0761904761904762,0.3816793893129771,0.3054889131225009,26.290000000000003,0.22000000000000242,0.06333333333333334,0.08
3,3,0.15240635515745374,0.13305487100490235,0.07524454477050414,0.306044376434583,0.23079983166407886,26.353333333333335,0.4399999999999977,0.04,0.06
4,3,0.08858172963679,0.044129769060448076,0.03763643206624012,0.11498658489842851,0.07735015283218839,26.39333333333333,0.4800000000000004,0.023333333333333334,0.019999999999999997
5,3,0.03786478250207481,0.00013852456975076393,0.0377643504531722,0.03802281368821293,0.00025846323504072344,26.41,0.17999999999999972,0.01,0.0
