repeat,data_count,mean_cv,cv_std,min_cv,max_cv,cv_range,mean_performance,performance_range,std_performance,std_performance_range
2,3,0.0882236658906641,0.07158214293282658,0.01009387301907742,0.15065102765522437,0.14055715463614696,92.86666666666667,12.469999999999999,0.08,0.13
3,3,0.09581531240602985,0.06568870126472258,0.020167389331451045,0.13844023996308258,0.11827285063163154,92.99666666666667,12.489999999999995,0.08666666666666667,0.09999999999999999
4,3,0.0882589315877416,0.05114145098074906,0.03028467595396729,0.12697679787602448,0.09669212192205719,92.89999999999999,12.430000000000007,0.08,0.08
5,3,0.06972341040394874,0.04294568543340416,0.020193861066235864,0.09659761725877428,0.07640375619253842,92.93666666666667,12.440000000000012,0.06333333333333334,0.06999999999999999
